category,sub_category,n_samples,rmse,mae,r2
Camera,Budget,120,172.9554374205487,119.83333333333333,0.9993798823295323
Camera,Mid,120,1771.3842280356155,1101.5833333333333,0.8191372765293077
Camera,Premium,60,2512.791425884767,1168.75,0.8012669786489605
Earphones,Budget,120,19.682902902434556,14.833333333333334,0.9957743035114759
Earphones,Mid,120,137.96315933369073,82.0,0.9699448349568706
Earphones,Premium,60,171.74472335416888,107.25,0.8495575995450169
Laptop,Budget,120,287.88430836014663,192.375,0.9984430574229815
Laptop,Mid,120,411.28057130544516,325.7083333333333,0.9978487791925397
Laptop,Premium,60,1.0,1.0,0.0
Mobile Phone,Budget,120,212.30196654765118,139.54166666666666,0.8324120319584675
Mobile Phone,Mid,120,340.6676655236498,169.125,0.9990037598162979
Mobile Phone,Premium,60,615.7330996462672,477.9166666666667,0.9020524581594972
Smartwatch,Budget,120,52.84489883927618,32.333333333333336,0.97598567782988
Smartwatch,Mid,120,332.4098248648296,193.20833333333334,0.9710516498121702
Smartwatch,Premium,60,968.7924614350245,522.0,0.7537042028130194
Television,Budget,120,205.2973453311075,120.83333333333333,0.9890154639977301
Television,Mid,120,648.1030332182273,272.2083333333333,0.9988314685743394
Television,Premium,60,1551.8472057519066,999.0833333333334,0.8004047605261202
